uid,qid,i,qs,qt,tags,qvc,qac,aid,j,as,at
1,563355,62701,0,1235000081,"php,error,gd,image-processing",220,2,563372,67183,2,1235000501
2,563355,62701,0,1235000081,"php,error,gd,image-processing",220,2,563374,66554,0,1235000551
3,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563358,15842,3,1235000177
4,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563413,893,18,1235001545
5,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563454,11649,4,1235002457
6,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563472,50742,6,1235002809
7,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563484,8899,1,1235003266
8,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563635,60190,12,1235007817
9,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,563642,65235,1,1235007913
10,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,564028,32797,8,1235020626
11,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,564747,19619,1,1235040652
12,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,568102,10728,3,1235098147
13,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,568213,68757,5,1235101761
14,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,568221,26177,0,1235102039
15,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,568975,31141,0,1235124207
16,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,569399,21734,3,1235132888
17,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,931176,114979,0,1243739978
18,563356,15842,10,1235000140,"lisp,scheme,subjective,clojure",1047,16,931214,82368,1,1243741787
19,563365,68122,0,1235000369,"cocoa-touch,objective-c,design-patterns",108,3,563376,68122,0,1235000573
20,563365,68122,0,1235000369,"cocoa-touch,objective-c,design-patterns",108,3,563379,66344,2,1235000607
21,563365,68122,0,1235000369,"cocoa-touch,objective-c,design-patterns",108,3,564758,28768,0,1235040919